age 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
0 0.37142155491 0.33948044873 0.31081020397 0.28484636972 0.26116311187 0.23942634743 0.21937691249 0.20078922471 0.18349595381 0.16734717912 0.15221913564 0.13803162365 0.12469598342876 0.112901277065822 0.101403233756958 0.0902410922482152 0.0794432309573452 0.069045798549843 0.0590778686662351 0.0495551591748718 0.0404829025345746 0.0317312087811221 0.0241912574740523 0.0167862699971032 0.0105493569731683
1 0.0885459218247777 0.0793678331808347 0.0713571477281886 0.0642773584228287 0.057956688971323 0.0522654135765015 0.0471053193115503 0.042395189386324 0.0380746194481532 0.0340918964576057 0.0304050880577043 0.0269852996761658 0.0233396309542992 0.0200598922486093 0.0170910739430492 0.0144004819877521 0.0119534099286536 0.00971895097971955 0.00766782081166625 0.00577255176726928 0.00400907490640731 0.00233143338476305 0.00140623295760604 0.000758245453776346 0.000346026871729303
2 0.0885459218247778 0.0793678331808348 0.0713571477281886 0.0642773584228287 0.057956688971323 0.0522654135765015 0.0471053193115503 0.0423951893863241 0.0380746194481531 0.0340918964576057 0.0304050880577043 0.0269852996761658 0.0233396309542992 0.0200598922486093 0.0170910739430492 0.0144004819877521 0.0119534099286536 0.00971895097971955 0.00766782081166626 0.00577255176726929 0.00400907490640731 0.00233143338476305 0.00140623295760604 0.000758245453776349 0.000346026871729305
3 0.0885459218247778 0.0793678331808347 0.0713571477281886 0.0642773584228287 0.057956688971323 0.0522654135765015 0.0471053193115503 0.0423951893863241 0.0380746194481532 0.0340918964576057 0.0304050880577043 0.0269852996761658 0.0233396309542992 0.0200598922486093 0.0170910739430492 0.0144004819877521 0.0119534099286536 0.00971895097971955 0.00766782081166626 0.00577255176726929 0.00400907490640731 0.00233143338476305 0.00140623295760604 0.000758245453776346 0.000346026871729305
4 0.0885459218247777 0.0793678331808347 0.0713571477281886 0.0642773584228287 0.057956688971323 0.0522654135765015 0.0471053193115503 0.042395189386324 0.0380746194481532 0.0340918964576057 0.0304050880577043 0.0269852996761658 0.0233396309542992 0.0200598922486093 0.0170910739430492 0.0144004819877521 0.0119534099286536 0.00971895097971955 0.00766782081166626 0.00577255176726928 0.00400907490640731 0.00233143338476305 0.00140623295760604 0.000758245453776346 0.000346026871729303
5 0.0269965547769881 0.0244410567376654 0.0221698350092924 0.0201310638766827 0.0182860553410382 0.0166048068095135 0.0150641942576554 0.0136444634200174 0.0123309006162884 0.0111105493251396 0.00997277324793088 0.00891046621071723 0.00784375531463201 0.00686973426777971 0.00596087138077715 0.0051140783910418 0.00432501521443625 0.00358977204839017 0.00290405956492684 0.00226314728565503 0.00166236498228946 0.00108852372981329 0.000735690543664498 0.000435571587512151 0.000223800145735589
6 0.0269965547769883 0.0244410567376654 0.0221698350092924 0.0201310638766827 0.0182860553410382 0.0166048068095136 0.0150641942576554 0.0136444634200173 0.0123309006162884 0.0111105493251396 0.00997277324793093 0.00891046621071723 0.00784375531463201 0.00686973426777971 0.00596087138077712 0.0051140783910418 0.00432501521443628 0.00358977204839017 0.00290405956492684 0.00226314728565503 0.00166236498228947 0.00108852372981329 0.000735690543664501 0.000435571587512151 0.000223800145735591
7 0.0269965547769881 0.0244410567376653 0.0221698350092923 0.0201310638766828 0.0182860553410382 0.0166048068095135 0.0150641942576554 0.0136444634200174 0.0123309006162884 0.0111105493251396 0.00997277324793088 0.00891046621071723 0.00784375531463203 0.00686973426777968 0.00596087138077715 0.0051140783910418 0.00432501521443625 0.00358977204839016 0.00290405956492686 0.00226314728565505 0.00166236498228946 0.00108852372981328 0.000735690543664501 0.000435571587512155 0.000223800145735589
8 0.0269965547769883 0.0244410567376654 0.0221698350092924 0.0201310638766827 0.0182860553410382 0.0166048068095136 0.0150641942576554 0.0136444634200173 0.0123309006162884 0.0111105493251396 0.00997277324793093 0.00891046621071723 0.00784375531463198 0.00686973426777971 0.00596087138077715 0.0051140783910418 0.00432501521443628 0.00358977204839017 0.00290405956492684 0.00226314728565503 0.00166236498228946 0.00108852372981329 0.000735690543664494 0.000435571587512151 0.000223800145735591
9 0.0269965547769881 0.0244410567376654 0.0221698350092924 0.0201310638766827 0.0182860553410382 0.0166048068095135 0.0150641942576555 0.0136444634200174 0.0123309006162884 0.0111105493251396 0.00997277324793088 0.00891046621071723 0.00784375531463203 0.00686973426777971 0.00596087138077712 0.0051140783910418 0.00432501521443625 0.00358977204839017 0.00290405956492684 0.00226314728565503 0.00166236498228947 0.00108852372981329 0.000735690543664501 0.000435571587512151 0.000223800145735589
