age 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
0 0.50546186212 0.46488458144 0.42788624548 0.39392865152 0.36258058272 0.33350144152 0.30640937784 0.28107904944 0.25731061152 0.23494866752 0.214000207888499 0.194798872135909 0.176258388138627 0.158375988770863 0.141164247094317 0.124626712469823 0.108752083313702 0.093558484916395 0.0790355834721119 0.0651785935691912 0.0514602866217899 0.0388810606780831 0.0275353474169434 0.01779960341108 0.0101074297889817
1 0.0685670709832104 0.0619337381310783 0.0560057503679034 0.050661549088662 0.0458068994684067 0.0413689306196682 0.0372889679013586 0.0335206799430342 0.0300243918683771 0.0267691619183159 0.0233145868830664 0.0202251170329849 0.0174207041906201 0.0148657668441771 0.012529680036454 0.0103833898371568 0.0083992397291978 0.00655674422145135 0.00483547505728518 0.00321938042465439 0.00220572607381697 0.00139815491939756 0.000798160644276588 0.000393063272739923 0.000156904478705547
2 0.0685670709832104 0.0619337381310783 0.0560057503679035 0.0506615490886619 0.0458068994684066 0.0413689306196682 0.0372889679013586 0.0335206799430341 0.030024391868377 0.0267691619183159 0.0233145868830664 0.0202251170329849 0.01742070419062 0.0148657668441771 0.0125296800364539 0.0103833898371569 0.0083992397291978 0.00655674422145135 0.00483547505728518 0.0032193804246544 0.00220572607381697 0.00139815491939755 0.000798160644276591 0.000393063272739923 0.000156904478705547
3 0.0685670709832104 0.0619337381310783 0.0560057503679035 0.0506615490886619 0.0458068994684066 0.0413689306196682 0.0372889679013586 0.0335206799430342 0.0300243918683771 0.0267691619183159 0.0233145868830664 0.0202251170329849 0.01742070419062 0.0148657668441771 0.0125296800364539 0.0103833898371569 0.0083992397291978 0.00655674422145135 0.0048354750572852 0.0032193804246544 0.00220572607381697 0.00139815491939756 0.000798160644276588 0.000393063272739926 0.000156904478705547
4 0.0685670709832104 0.0619337381310783 0.0560057503679034 0.050661549088662 0.0458068994684067 0.0413689306196683 0.0372889679013586 0.0335206799430342 0.0300243918683771 0.0267691619183159 0.0233145868830664 0.0202251170329849 0.0174207041906201 0.0148657668441771 0.012529680036454 0.0103833898371568 0.0083992397291978 0.00655674422145135 0.00483547505728518 0.00321938042465439 0.00220572607381697 0.00139815491939756 0.000798160644276588 0.000393063272739923 0.000156904478705547
5 0.0142892518031049 0.0130335374940397 0.0118941216877338 0.0108529553196547 0.00989567498529295 0.00901097909120575 0.00818957068102638 0.00742403032474296 0.00670783535735762 0.00603590180972436 0.00533440850590548 0.00473469888197911 0.00417147686694068 0.00364209507298987 0.00314438328437051 0.00267596590848142 0.00223418611970683 0.00181739740282492 0.00142340232413787 0.00105044452322923 0.000797065032081655 0.000550482141509335 0.000349106138265324 0.000196312740025965 9.30574507502021e-05
6 0.0142892518031048 0.0130335374940397 0.0118941216877338 0.0108529553196547 0.00989567498529284 0.00901097909120575 0.00818957068102627 0.00742403032474291 0.00670783535735762 0.00603590180972442 0.00533440850590542 0.00473469888197911 0.00417147686694074 0.00364209507298984 0.00314438328437054 0.00267596590848142 0.00223418611970683 0.00181739740282492 0.00142340232413787 0.00105044452322923 0.000797065032081655 0.000550482141509335 0.000349106138265324 0.000196312740025965 9.30574507502004e-05
7 0.0142892518031048 0.0130335374940396 0.0118941216877339 0.0108529553196549 0.00989567498529295 0.00901097909120586 0.00818957068102638 0.00742403032474296 0.00670783535735762 0.00603590180972436 0.00533440850590548 0.00473469888197917 0.00417147686694068 0.00364209507298987 0.00314438328437051 0.0026759659084814 0.0022341861197068 0.00181739740282495 0.00142340232413788 0.00105044452322924 0.000797065032081648 0.000550482141509335 0.000349106138265324 0.000196312740025968 9.30574507502021e-05
8 0.014289251803105 0.0130335374940397 0.0118941216877338 0.0108529553196547 0.00989567498529284 0.00901097909120575 0.00818957068102627 0.00742403032474291 0.00670783535735762 0.00603590180972442 0.00533440850590542 0.00473469888197911 0.00417147686694074 0.00364209507298984 0.00314438328437054 0.00267596590848142 0.00223418611970683 0.00181739740282492 0.00142340232413787 0.00105044452322923 0.000797065032081662 0.000550482141509335 0.000349106138265324 0.000196312740025965 9.30574507502004e-05
9 0.0142892518031048 0.0130335374940397 0.0118941216877338 0.0108529553196547 0.00989567498529295 0.00901097909120575 0.00818957068102638 0.00742403032474296 0.00670783535735762 0.00603590180972436 0.00533440850590548 0.00473469888197911 0.00417147686694068 0.00364209507298987 0.00314438328437051 0.00267596590848142 0.00223418611970683 0.00181739740282492 0.00142340232413787 0.00105044452322923 0.000797065032081648 0.000550482141509335 0.000349106138265324 0.000196312740025965 9.30574507502021e-05
