age 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
0 0.36555423844 0.33399320224 0.30556192556 0.27973706576 0.25611698592 0.23438684388 0.21429140352 0.19562843868 0.17822242928 0.1619379948 0.1466483618 0.13225692184 0.11879343772 0.106044486757669 0.0939416967135468 0.0823129486691771 0.0711686085327363 0.0605192244453957 0.0503626941331667 0.0406936289199651 0.0311712796505586 0.0228232832429368 0.0153005529583272 0.00905749344075879 0.00445507701608072
1 0.0730708408567992 0.0655730140895324 0.0589698938091427 0.0530902780857595 0.0478068939693791 0.0430227371187256 0.0386614508827951 0.0346635409696152 0.0309791376822672 0.0275697874478816 0.0244010287908241 0.021446369154852 0.018592721803167 0.0154087214291524 0.0128558500059051 0.0105605538165562 0.00848485965145131 0.00659433003361511 0.00485678800954266 0.00324487973647034 0.00195858735652864 0.00117547261414421 0.00061100841975582 0.000259258261081222 8.12944691431019e-05
2 0.0730708408567992 0.0655730140895323 0.0589698938091427 0.0530902780857595 0.0478068939693791 0.0430227371187256 0.038661450882795 0.0346635409696152 0.0309791376822673 0.0275697874478816 0.0244010287908241 0.021446369154852 0.0185927218031671 0.0154087214291524 0.0128558500059051 0.0105605538165562 0.00848485965145131 0.00659433003361512 0.00485678800954266 0.00324487973647033 0.00195858735652864 0.00117547261414421 0.000611008419755819 0.000259258261081222 8.12944691431027e-05
3 0.0730708408567992 0.0655730140895324 0.0589698938091426 0.0530902780857595 0.0478068939693791 0.0430227371187256 0.038661450882795 0.0346635409696152 0.0309791376822673 0.0275697874478816 0.0244010287908241 0.021446369154852 0.0185927218031671 0.0154087214291524 0.0128558500059051 0.0105605538165562 0.00848485965145131 0.00659433003361511 0.00485678800954266 0.00324487973647033 0.00195858735652864 0.00117547261414421 0.000611008419755822 0.000259258261081224 8.12944691431027e-05
4 0.0730708408567992 0.0655730140895323 0.0589698938091427 0.0530902780857595 0.0478068939693791 0.0430227371187256 0.0386614508827951 0.0346635409696152 0.0309791376822672 0.0275697874478815 0.0244010287908241 0.021446369154852 0.018592721803167 0.0154087214291524 0.0128558500059051 0.0105605538165562 0.00848485965145131 0.00659433003361511 0.00485678800954266 0.00324487973647034 0.00195858735652864 0.00117547261414421 0.000611008419755819 0.000259258261081222 8.12944691431019e-05
5 0.0150843299205731 0.01368237452522 0.0124262332564849 0.0112907607376291 0.0102567759926801 0.00930932567117188 0.00843636362574589 0.00762837361113928 0.00687716621110881 0.00617641567754735 0.00552026753273664 0.0049042430601127 0.00432931747793818 0.0037314139824552 0.00318946524172055 0.0026882199108785 0.00222401797393204 0.00179326915145604 0.00139210775427097 0.00101695461065931 0.00068483115806088 0.000446494399472521 0.000257989235910389 0.000125712862505314 4.75255315367082e-05
6 0.015084329920573 0.0136823745252202 0.0124262332564849 0.0112907607376291 0.0102567759926802 0.00930932567117188 0.00843636362574589 0.00762837361113928 0.00687716621110881 0.00617641567754735 0.0055202675327367 0.00490424306011273 0.00432931747793818 0.00373141398245523 0.00318946524172055 0.0026882199108785 0.00222401797393206 0.00179326915145604 0.00139210775427097 0.0010169546106593 0.00068483115806088 0.000446494399472518 0.000257989235910386 0.000125712862505312 4.75255315367082e-05
7 0.0150843299205731 0.01368237452522 0.0124262332564849 0.0112907607376292 0.0102567759926801 0.00930932567117194 0.00843636362574595 0.00762837361113928 0.00687716621110876 0.00617641567754729 0.00552026753273664 0.0049042430601127 0.00432931747793816 0.0037314139824552 0.00318946524172058 0.00268821991087853 0.00222401797393204 0.00179326915145604 0.00139210775427099 0.00101695461065931 0.000684831158060887 0.000446494399472521 0.000257989235910389 0.000125712862505314 4.75255315367082e-05
8 0.015084329920573 0.0136823745252202 0.0124262332564849 0.0112907607376291 0.0102567759926802 0.00930932567117188 0.00843636362574589 0.00762837361113928 0.00687716621110881 0.00617641567754735 0.0055202675327367 0.00490424306011273 0.00432931747793818 0.00373141398245523 0.00318946524172055 0.0026882199108785 0.00222401797393206 0.00179326915145604 0.00139210775427097 0.0010169546106593 0.00068483115806088 0.000446494399472518 0.000257989235910386 0.000125712862505312 4.75255315367082e-05
9 0.0150843299205731 0.01368237452522 0.0124262332564849 0.0112907607376291 0.0102567759926801 0.00930932567117188 0.00843636362574589 0.00762837361113928 0.00687716621110881 0.00617641567754735 0.00552026753273664 0.0049042430601127 0.00432931747793818 0.0037314139824552 0.00318946524172055 0.0026882199108785 0.00222401797393204 0.00179326915145604 0.00139210775427097 0.00101695461065931 0.00068483115806088 0.000446494399472521 0.000257989235910389 0.000125712862505314 4.75255315367082e-05
10 0.0117162959937591 0.0106328572496574 0.00966090485542183 0.00878135042955354 0.00797961178556925 0.00724430559549055 0.00656624798613663 0.00593817846523491 0.0053538367157573 0.00480838818226065 0.00429734679994646 0.0038172833076255 0.00336571327000035 0.0028756421600537 0.00246613570040977 0.00208478654336303 0.0017293371040382 0.00139756112373166 0.00108698053373715 0.000795279864046482 0.000550329139984329 0.000363608847629712 0.000213702844056343 0.000106476949670584 4.14827735598525e-05
11 0.0117162959937591 0.0106328572496574 0.00966090485542172 0.00878135042955343 0.00797961178556936 0.00724430559549055 0.00656624798613663 0.00593817846523486 0.0053538367157573 0.00480838818226065 0.0042973467999464 0.00381728330762556 0.00336571327000033 0.00287564216005373 0.00246613570040977 0.00208478654336306 0.0017293371040382 0.00139756112373166 0.00108698053373715 0.000795279864046482 0.000550329139984322 0.000363608847629712 0.000213702844056343 0.000106476949670584 4.14827735598534e-05
12 0.0117162959937589 0.0106328572496575 0.00966090485542183 0.00878135042955354 0.00797961178556925 0.0072443055954905 0.00656624798613669 0.00593817846523491 0.00535383671575735 0.0048083881822606 0.00429734679994646 0.0038172833076255 0.00336571327000035 0.0028756421600537 0.00246613570040974 0.00208478654336303 0.00172933710403821 0.00139756112373167 0.00108698053373715 0.000795279864046489 0.000550329139984329 0.000363608847629712 0.000213702844056347 0.000106476949670583 4.14827735598525e-05
13 0.0117162959937591 0.0106328572496574 0.00966090485542172 0.00878135042955343 0.00797961178556936 0.00724430559549061 0.00656624798613663 0.00593817846523486 0.0053538367157573 0.00480838818226065 0.0042973467999464 0.00381728330762556 0.00336571327000033 0.00287564216005373 0.00246613570040977 0.00208478654336306 0.00172933710403818 0.00139756112373166 0.00108698053373715 0.000795279864046482 0.000550329139984322 0.000363608847629715 0.000213702844056343 0.000106476949670584 4.14827735598534e-05
14 0.0117162959937591 0.0106328572496574 0.00966090485542183 0.00878135042955354 0.00797961178556925 0.0072443055954905 0.00656624798613663 0.00593817846523491 0.0053538367157573 0.00480838818226065 0.00429734679994646 0.0038172833076255 0.00336571327000035 0.0028756421600537 0.00246613570040977 0.00208478654336303 0.00172933710403821 0.00139756112373166 0.00108698053373715 0.000795279864046482 0.000550329139984329 0.000363608847629708 0.000213702844056343 0.000106476949670584 4.14827735598525e-05
15 0.0152586029464319 0.0138672751508173 0.0126206065692263 0.0114936567593794 0.0104674001514558 0.00952700390288452 0.00866051836767858 0.00785850330353613 0.00711283419363161 0.00641723546039505 0.00576589857539971 0.00515438007771597 0.00458365020786571 0.00408317895279521 0.00352823984108511 0.00301118559268936 0.00252955844113911 0.002080854105033 0.00166210779760666 0.00127043714665192 0.000886902806950735 0.000593364590062603 0.000358325640762351 0.00018501543214102 7.56511157735049e-05
