Carl Schmertmann,,Complete Set of CT & QS Fits to 226 5-year schedules,,,,,,,,,,,,,,,,,,
26 May 2003,,Source for Original Data: US Census International Database,,,,,,,,,,,,,,,,,,
,,http://www.census.gov/ipc/www/idbacc.html    [downloaded on 17 June 2002],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,US Census Data Base (1000 5fx),,,,,,,,,COALE-TRUSSELL FIT,,,,,,QS FIT,,,,
2002 SCHEDULE,TFR,5f15,5f20,5f25,5f30,5f35,5f40,5f45,,tfr,a0,k,m,RE,,R,alpha,P,H,RE
Cape Verde,3.91,86.2,185.4,194.5,155.1,103.5,54.6,2.2,,3.93,10.9,0.82,0.50,2.4,,0.201,10.6,24.5,37.9,1.7
Cayman Isl,2.03,54.6,106.3,116.2,90.4,26.5,10.0,0.4,,2.08,6.4,3.75,2.17,10.4,,0.125,1.1,28.7,34.3,7.3
C. African Rep,4.77,138.1,219.8,224.5,186.2,109.7,55.1,20.6,,4.83,0.0,2.40,0.84,4.3,,0.235,2.3,25.3,37.4,3.3
Chad,6.50,189.4,307.8,308.2,251.1,164.8,66.6,12.7,,6.68,0.0,2.39,0.84,1.2,,0.326,3.8,24.6,37.4,1.9
Chile,2.13,42.7,103.2,122.2,95.4,45.9,13.9,1.3,,2.16,8.4,3.58,2.05,4.6,,0.129,8.9,26.9,35.2,3.9
China,1.82,9.6,13.7,132.4,134.1,55.2,19.1,2.7,,1.76,21.6,0.92,2.66,6.0,,0.164,21.7,29.6,35.6,4.5
Colombia,2.64,50.4,133.0,143.3,108.1,63.9,23.1,5.8,,2.64,10.5,1.19,1.03,1.5,,0.151,11.7,25.2,35.9,1.8
Comoros,5.26,67.3,202.8,249.3,256.2,168.3,79.6,29.4,,5.21,10.2,1.42,0.56,6.0,,0.269,10.7,27.4,39.8,6.6
Congo (Brazzaville),4.94,104.7,211.1,231.2,204.2,142.0,72.1,21.9,,4.92,9.0,1.05,0.37,2.6,,0.238,7.9,25.5,39.4,2.1
Congo (Kinshasa),6.77,114.7,287.0,314.7,258.1,204.7,128.7,45.7,,6.59,14.0,0.43,0.05,6.6,,0.310,12.5,24.0,40.9,4.7
Cook Islands,3.15,50.3,165.3,198.2,124.1,64.0,24.4,2.6,,3.13,11.2,1.79,1.93,2.4,,0.206,12.8,26.0,34.1,2.0
Costa Rica,2.42,62.4,117.8,133.7,100.0,49.9,17.1,1.9,,2.46,4.6,4.18,1.84,4.9,,0.139,4.6,26.8,35.2,2.1
Cote d'Ivoire,5.61,142.8,238.9,242.6,227.2,166.8,78.7,24.6,,5.67,6.9,1.04,0.22,3.0,,0.256,4.0,24.9,40.1,3.7
Croatia,1.94,21.6,112.5,127.2,83.1,34.4,7.5,0.5,,1.95,13.8,1.10,1.84,3.9,,0.140,14.7,25.5,33.3,3.9
Cuba,1.60,69.6,97.1,88.5,46.1,16.3,2.9,0.3,,1.69,0.0,2.65,1.96,7.6,,0.103,0.0,24.8,31.6,1.5
Cyprus,1.90,13.0,89.2,134.5,95.5,37.2,9.7,1.3,,1.91,15.4,2.80,3.12,3.4,,0.141,14.7,27.6,34.2,2.9
