Carl Schmertmann,,Complete Set of CT & QS Fits to 226 5-year schedules,,,,,,,,,,,,,,,,,,
26 May 2003,,Source for Original Data: US Census International Database,,,,,,,,,,,,,,,,,,
,,http://www.census.gov/ipc/www/idbacc.html    [downloaded on 17 June 2002],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,US Census Data Base (1000 5fx),,,,,,,,,COALE-TRUSSELL FIT,,,,,,QS FIT,,,,
2002 SCHEDULE,TFR,5f15,5f20,5f25,5f30,5f35,5f40,5f45,,tfr,a0,k,m,RE,,R,alpha,P,H,RE
Nigeria,5.49,124.1,228.4,251.7,208.5,149.8,84.0,51.1,,5.34,9.8,0.82,0.25,6.8,,0.251,6.9,25.0,39.8,5.0
N Mariana Isl,1.76,59.3,76.2,92.4,67.8,39.5,12.1,1.4,,1.81,0.0,2.49,0.98,9.8,,0.093,0.0,26.8,35.9,5.6
Norway,1.80,11.8,69.2,128.2,101.6,40.1,9.4,1.0,,1.80,16.6,2.43,3.01,5.8,,0.136,14.4,29.0,34.8,0.6
Oman,5.99,106.2,319.9,306.9,227.7,149.7,71.3,16.5,,5.94,14.5,0.44,0.55,1.7,,0.334,14.7,22.7,36.5,1.3
Pakistan,4.25,47.2,182.7,228.4,197.7,116.0,60.5,18.1,,4.19,12.9,0.99,0.73,4.7,,0.236,13.2,26.4,37.9,3.8
Palau,2.47,62.6,114.9,141.5,106.6,55.9,12.1,0.0,,2.54,5.9,4.12,1.88,8.0,,0.145,3.7,28.0,35.3,3.0
Panama,2.22,41.8,104.1,134.3,102.5,44.3,14.5,2.4,,2.23,10.3,3.42,2.27,6.1,,0.141,8.9,27.6,34.9,2.7
Papua New Guinea,4.21,63.6,195.8,210.8,170.4,105.2,68.2,28.4,,4.08,13.9,0.56,0.41,6.6,,0.216,13.5,24.3,38.3,5.3
Paraguay,4.07,94.9,191.7,201.2,150.9,105.8,55.0,14.0,,4.04,10.9,0.77,0.49,3.8,,0.206,10.4,24.2,37.8,2.8
Peru,2.89,49.6,134.5,149.5,125.0,79.6,33.8,5.6,,2.90,11.1,1.04,0.70,1.6,,0.156,11.5,25.5,37.6,1.8
Philippines,3.35,39.2,155.5,192.7,144.7,97.3,34.9,6.1,,3.35,13.3,0.93,0.86,2.2,,0.196,13.7,25.9,36.8,2.6
Poland,1.37,16.8,83.2,94.0,51.8,21.8,5.1,0.3,,1.37,13.7,1.21,2.24,0.4,,0.103,14.7,25.4,32.5,1.2
Portugal,1.48,19.7,62.1,100.3,79.2,29.9,6.3,0.5,,1.50,14.5,2.73,2.71,10.0,,0.106,11.1,29.1,34.7,1.1
Puerto Rico,1.90,73.0,110.4,97.4,65.2,26.8,5.8,0.4,,1.98,0.0,2.59,1.62,5.0,,0.114,2.6,24.2,32.8,4.3
Qatar,3.10,22.3,131.3,200.6,158.9,76.4,23.9,6.2,,3.09,14.1,2.42,2.37,3.3,,0.210,14.2,27.8,35.4,2.8
Reunion,2.55,41.0,131.7,148.1,110.5,56.1,20.2,3.2,,2.56,11.2,1.41,1.40,2.5,,0.157,12.5,25.7,35.1,2.5
Romania,1.35,35.9,97.8,79.2,38.4,14.3,3.7,0.4,,1.35,12.1,0.93,2.16,0.6,,0.104,13.8,23.3,30.6,0.5
Russia,1.30,38.8,105.4,70.5,32.4,11.0,2.2,0.1,,1.31,14.4,0.46,2.08,1.4,,0.110,15.2,21.8,29.2,0.8
Rwanda,4.72,32.2,173.6,236.7,226.3,163.6,87.4,23.8,,4.66,14.7,0.70,0.21,3.1,,0.245,14.4,26.8,40.6,3.0
St Helena,1.53,19.8,75.4,118.7,63.9,22.0,6.1,0.9,,1.50,15.8,2.62,3.66,6.8,,0.120,13.5,27.7,33.0,5.7
St Kitts & Nevis,2.39,60.8,127.6,134.8,83.3,50.2,19.5,1.7,,2.41,6.1,2.34,1.64,3.3,,0.142,9.7,24.9,34.4,3.0
St Lucia,2.34,46.3,104.9,138.3,102.2,54.6,19.3,1.6,,2.35,9.2,4.01,2.11,4.5,,0.141,8.2,27.4,35.6,1.1
St Pierre & Miq,2.10,27.5,104.4,144.4,91.7,37.2,12.3,1.7,,2.08,13.6,2.92,2.96,3.4,,0.149,13.0,27.2,33.8,0.9
St Vinc & Gren,2.01,28.4,84.3,128.3,99.4,43.4,15.4,2.1,,1.99,13.2,3.11,2.50,6.3,,0.133,10.9,28.5,35.2,0.8
Samoa,3.30,23.4,138.4,194.7,160.7,92.4,42.1,9.1,,3.28,14.3,1.01,0.99,2.9,,0.200,14.7,26.9,37.0,2.0
San Marino,1.30,3.5,33.8,93.9,89.2,35.9,3.1,1.2,,1.31,19.3,2.00,3.25,10.2,,0.108,16.7,30.4,35.4,3.8
Sao Tome  ,5.95,130.2,296.5,279.9,224.0,163.3,86.5,9.6,,5.94,14.4,0.33,0.28,1.6,,0.301,14.6,21.5,38.4,1.2
Saudi Arabia,6.21,98.3,286.5,325.6,262.1,182.9,68.0,17.8,,6.20,12.0,0.92,0.64,1.9,,0.336,12.2,25.5,37.7,2.6
Senegal,5.03,88.0,193.9,220.3,221.0,162.1,85.1,34.7,,4.96,9.9,0.96,0.13,4.5,,0.231,8.2,26.3,41.2,5.0
Serbia,1.76,29.7,114.2,114.0,64.6,23.3,5.9,0.7,,1.77,12.7,1.20,2.18,2.4,,0.131,14.1,24.8,32.1,2.1
Seychelles,1.81,14.0,70.1,120.7,99.4,41.8,13.9,2.0,,1.80,15.4,2.47,2.64,5.4,,0.128,13.6,28.9,35.3,1.8
Sierra Leone,5.94,154.8,269.2,296.6,230.6,136.8,48.5,50.7,,5.88,0.4,4.66,1.45,6.8,,0.306,3.7,26.2,36.5,4.8
Singapore,1.23,6.3,34.1,83.4,81.4,33.8,6.7,0.3,,1.22,18.4,2.15,2.95,10.4,,0.095,15.1,30.6,35.8,2.5
Slovakia,1.25,25.8,97.7,77.8,34.0,12.5,2.2,0.1,,1.25,14.1,0.72,2.34,0.5,,0.105,15.2,23.3,30.1,1.7
Slovenia,1.28,9.4,72.2,101.1,53.1,16.7,2.5,0.1,,1.28,16.1,2.60,3.98,1.2,,0.107,15.6,26.6,32.4,1.1
Solomon Isl,4.50,68.6,196.1,230.3,194.0,132.6,58.6,19.0,,4.46,11.6,0.97,0.57,1.6,,0.236,11.7,25.9,38.5,2.2
Somalia,7.05,58.5,248.3,316.0,286.6,261.7,140.8,97.3,,6.71,15.4,0.42,-0.21,8.1,,0.309,14.1,25.7,43.1,7.6
South Africa,2.38,41.2,119.0,138.1,92.7,50.5,24.4,9.7,,2.33,10.9,1.37,1.37,4.9,,0.142,12.1,25.7,35.0,3.8
Spain,1.16,7.7,28.4,79.5,82.3,30.4,5.0,0.3,,1.15,19.4,2.06,3.22,14.2,,0.094,15.5,31.1,35.7,3.7
Sri Lanka,1.93,13.6,77.5,129.3,103.3,44.9,14.7,2.3,,1.92,15.2,2.50,2.65,4.0,,0.136,14.1,28.5,35.2,1.7
Sudan,5.22,84.7,224.1,268.8,215.7,144.4,62.5,44.1,,5.07,10.8,1.14,0.70,4.7,,0.272,11.0,26.0,38.0,4.4
Suriname,2.44,30.3,109.2,150.7,116.5,57.1,20.4,3.1,,2.43,12.2,3.00,2.30,2.7,,0.156,12.3,27.5,35.5,1.6
Swaziland,5.77,61.6,236.4,260.6,245.8,200.0,99.9,50.5,,5.63,15.3,0.39,-0.06,3.8,,0.268,14.3,24.5,41.6,5.0
Sweden,1.54,7.3,54.6,109.8,90.0,37.8,7.6,0.4,,1.54,17.3,2.41,3.07,5.8,,0.117,15.1,29.2,35.1,1.5
Switzerland,1.48,6.0,48.6,107.1,92.5,33.8,6.1,0.4,,1.47,18.2,2.26,3.26,9.1,,0.118,15.4,29.8,35.0,0.6
Syria,3.84,53.4,152.7,206.0,172.2,122.2,59.1,1.7,,3.85,10.5,1.44,0.75,3.3,,0.206,11.2,27.1,38.9,2.5
Taiwan,1.76,14.5,78.4,143.4,87.8,23.5,3.9,0.2,,1.74,17.1,2.11,3.71,7.0,,0.148,14.7,28.5,33.2,2.5
Tajikistan,4.23,53.9,271.8,225.4,159.5,93.6,35.7,6.9,,4.23,17.1,0.21,0.77,1.5,,0.278,17.7,20.8,33.9,0.9
Tanzania,5.33,119.6,236.5,239.9,203.5,151.5,78.0,37.0,,5.22,12.4,0.52,0.18,3.5,,0.247,11.0,23.6,39.7,2.9
Thailand,1.86,26.5,88.3,113.6,82.1,39.4,18.4,3.7,,1.84,11.0,2.46,2.05,3.5,,0.117,12.3,26.7,35.1,2.1
Togo,5.14,80.3,211.5,248.8,211.0,159.8,84.6,32.8,,5.04,12.5,0.71,0.22,4.4,,0.249,11.4,25.6,40.1,2.9
Tonga,3.00,41.6,157.3,182.9,129.7,61.2,21.6,5.7,,2.99,12.1,1.39,1.62,2.7,,0.194,13.4,25.9,34.5,2.7
Trin & Tobago,1.80,15.0,71.0,121.1,97.2,40.0,13.3,2.0,,1.79,15.2,2.39,2.62,5.5,,0.127,13.5,28.8,35.1,1.6
Tunisia,1.94,11.8,72.4,129.8,107.7,46.7,17.4,3.0,,1.92,15.7,2.41,2.63,5.1,,0.137,14.4,28.8,35.5,2.1
Turkey,2.07,26.7,105.9,131.9,97.0,38.7,12.8,1.3,,2.08,12.1,2.58,2.45,4.2,,0.140,12.9,26.8,34.3,4.6
Turkmenistan,3.54,22.5,195.7,235.4,153.2,73.2,24.4,3.8,,3.54,15.7,0.71,1.43,1.5,,0.254,16.2,25.3,33.8,1.1
Turks & Caicos ,3.18,64.8,175.8,174.7,112.2,75.4,29.7,3.8,,3.17,13.0,0.66,0.88,2.9,,0.188,13.5,23.7,34.9,2.9
Tuvalu,3.07,27.4,185.0,210.9,123.1,55.4,7.2,4.9,,3.08,14.9,0.89,1.89,3.0,,0.233,15.6,25.3,32.7,3.0
Uganda,6.80,198.8,315.0,310.2,245.2,175.0,87.5,28.3,,6.83,8.8,0.76,0.37,2.8,,0.324,8.0,23.2,38.3,1.8
Ukraine,1.32,51.0,111.6,62.7,26.5,9.3,1.9,0.1,,1.32,16.4,0.14,2.18,0.6,,0.129,17.0,19.4,27.2,0.9
United Arab Emir,3.16,38.3,139.7,184.3,156.5,83.5,24.9,5.2,,3.18,11.3,2.79,1.95,4.1,,0.195,12.1,27.5,36.2,4.5
United Kingdom,1.73,26.9,77.1,109.8,88.0,35.3,7.3,0.5,,1.74,12.7,3.25,2.53,9.3,,0.117,9.8,28.7,34.8,3.7
United States,2.07,58.6,113.0,113.6,85.6,35.5,7.0,0.4,,2.14,4.2,3.66,1.96,6.9,,0.125,5.0,26.0,34.1,7.0
Uruguay,2.35,49.3,115.7,135.2,99.2,54.1,15.7,1.6,,2.39,7.8,3.99,2.07,2.1,,0.141,9.2,26.4,35.3,2.3
Uzbekistan,3.03,57.7,243.3,157.7,102.6,34.0,7.4,2.8,,3.06,18.5,0.01,1.40,6.1,,0.264,18.3,19.6,29.4,5.5
Vanuatu,3.08,37.9,136.7,175.9,140.6,81.1,33.6,10.6,,3.05,11.8,1.42,1.19,2.4,,0.181,12.8,26.7,36.7,1.9
Venezuela,2.41,49.7,116.6,137.4,106.2,51.3,18.0,2.8,,2.44,8.0,3.70,2.03,4.0,,0.144,8.7,26.8,35.3,2.9
Vietnam,2.44,26.5,129.0,154.8,103.0,49.7,23.6,2.0,,2.43,13.9,0.98,1.45,2.3,,0.163,14.6,25.7,34.3,1.7
Virgin Isl (US),2.24,47.1,96.0,141.2,107.9,43.2,10.9,0.8,,2.26,11.3,3.71,2.42,12.3,,0.145,6.7,29.0,34.8,1.2
Virgin Isl (UK),1.72,29.8,79.7,111.7,76.7,33.3,10.2,2.1,,1.71,12.3,3.48,2.66,6.4,,0.114,10.3,27.7,34.4,1.0
West Bank,4.77,84.3,243.0,247.2,198.5,127.6,49.8,4.1,,4.80,13.0,0.68,0.62,1.9,,0.265,13.2,24.2,36.9,2.5
W. Sahara,6.64,123.0,293.9,315.1,267.4,200.4,95.4,33.6,,6.57,12.5,0.63,0.25,2.1,,0.323,11.5,24.7,39.5,2.4
Yemen,6.90,74.0,278.4,327.2,291.9,231.0,120.2,57.1,,6.72,14.7,0.50,0.06,4.0,,0.330,13.8,25.2,41.0,3.6
Zambia,5.43,136.0,247.7,250.8,209.2,154.6,67.5,20.7,,5.45,9.8,0.79,0.34,1.6,,0.262,8.8,24.1,38.8,2.3
Zimbabwe,3.21,11.0,179.2,171.0,129.3,97.8,41.2,13.1,,3.18,18.4,0.15,0.38,2.9,,0.187,18.7,21.4,37.4,3.5
