sex,age,reference body weight,water,energy 1.4,energy 1.6,energy 1.8,energy 2.0,carbohydrates min,carbohydrates max,dietary fibre,fat min,fat max,protein AR,protein PRI,Calcium,Iron,Zinc,Copper,Magnesium,Fluoride,Iodine,Manganese,Molybdenum,Phosphorus,Potassium,Selenium,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Choline
female,98,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,99,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
female,100,58.5,2,6.8,7.7,8.7,9.6,45,60,25,20,35,0.66,0.83,950,11,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
male,0,7.65,0.9,2.85,2.85,2.85,2.85,45,60,0,40,40,1.12,1.31,280,11,2.9,0.4,80,0.4,70,0.25,10,160,750,15,250,0.1,0.4,1.6,3,0.3,6,80,1.5,20,10,5,10,160
male,1,12.2,1.15,3.3,3.3,3.3,3.3,45,60,10,35,40,0.85,1.14,450,7,4.3,0.7,170,0.6,90,0.5,15,250,800,15,250,0.1,0.6,1.6,4,0.6,20,120,1.5,20,15,6,12,140
male,2,12.2,1.3,4.3,4.3,4.3,4.3,45,60,10,35,40,0.79,1,450,7,4.3,0.7,170,0.6,90,0.5,15,250,800,15,250,0.1,0.6,1.6,4,0.6,20,120,1.5,20,15,6,12,140
male,3,12.2,1.3,4.9,4.9,4.9,4.9,45,60,10,35,40,0.73,0.9,450,7,4.3,1,230,0.6,90,0.5,15,250,800,15,250,0.1,0.6,1.6,4,0.6,20,120,1.5,20,15,9,12,140
male,4,19.2,1.6,5.3,6,6.8,6.8,45,60,14,20,35,0.69,0.86,800,7,5.5,1,230,1,90,1,20,440,1100,20,300,0.1,0.7,1.6,4,0.7,25,140,1.5,30,15,9,20,170
male,5,19.2,1.6,5.6,6.4,7.2,7.2,45,60,14,20,35,0.69,0.85,800,7,5.5,1,230,1,90,1,20,440,1100,20,300,0.1,0.7,1.6,4,0.7,25,140,1.5,30,15,9,20,170
male,6,19.2,1.6,5.9,6.7,7.6,7.6,45,60,14,20,35,0.72,0.89,800,7,5.5,1,230,1,90,1,20,440,1100,20,300,0.1,0.7,1.6,4,0.7,25,140,1.5,30,15,9,20,170
male,7,29,1.6,6.3,7.2,8.1,8.1,45,60,16,20,35,0.74,0.91,800,11,7.4,1,230,1.5,90,1.5,30,440,1800,35,400,0.1,1,1.6,4,1,25,200,2.5,45,15,9,30,250
male,8,29,1.6,6.7,7.6,8.6,8.6,45,60,16,20,35,0.75,0.92,800,11,7.4,1,230,1.5,90,1.5,30,440,1800,35,400,0.1,1,1.6,4,1,25,200,2.5,45,15,9,30,250
male,9,29,1.9,7,8.1,9.1,9.1,45,60,16,20,35,0.75,0.92,800,11,7.4,1,230,1.5,90,1.5,30,440,1800,35,400,0.1,1,1.6,4,1,25,200,2.5,45,15,9,30,250
male,10,29,1.9,8.1,8.1,9.1,10.1,45,60,16,20,35,0.75,0.91,800,11,7.4,1.3,300,1.5,90,1.5,30,440,1800,35,400,0.1,1,1.6,4,1,25,200,2.5,45,15,13,30,250
male,11,44,1.9,8.5,8.5,9.6,10.7,45,60,19,20,35,0.75,0.91,1150,11,10.7,1.3,300,2.2,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,13,45,340
male,12,44,1.9,9.1,9.1,10.2,11.4,45,60,19,20,35,0.74,0.9,1150,11,10.7,1.3,300,2.2,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,13,45,340
male,13,44,1.9,9.8,9.8,11,12.2,45,60,19,20,35,0.73,0.9,1150,11,10.7,1.3,300,2.2,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,13,45,340
male,14,44,2.5,10.5,10.5,11.8,13.1,45,60,19,20,35,0.72,0.89,1150,11,10.7,1.3,300,2.2,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,13,45,340
male,15,64.1,2.5,11.3,11.3,12.7,14.1,45,60,21,20,35,0.72,0.88,1150,11,14.2,1.3,300,3.2,130,3,65,640,3500,70,750,0.1,1.6,1.6,5,1.7,35,330,4,100,15,13,65,400
male,16,64.1,2.5,11.9,11.9,13.4,14.9,45,60,21,20,35,0.71,0.87,1150,11,14.2,1.3,300,3.2,130,3,65,640,3500,70,750,0.1,1.6,1.6,5,1.7,35,330,4,100,15,13,65,400
male,17,64.1,2.5,12.3,12.3,13.8,15.4,45,60,21,20,35,0.7,0.86,1150,11,14.2,1.3,300,3.2,130,3,65,640,3500,70,750,0.1,1.6,1.6,5,1.7,35,330,4,100,15,13,65,400
male,18,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,1000,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,19,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,1000,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,20,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,1000,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,21,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,1000,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,22,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,1000,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,23,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,1000,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,24,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,1000,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,25,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,26,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,27,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,28,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,29,68.1,2.5,9.8,11.2,12.6,14,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,30,68.1,2.5,9.5,10.8,12.2,13.5,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,31,68.1,2.5,9.5,10.8,12.2,13.5,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,32,68.1,2.5,9.5,10.8,12.2,13.5,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,33,68.1,2.5,9.5,10.8,12.2,13.5,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,34,68.1,2.5,9.5,10.8,12.2,13.5,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,35,68.1,2.5,9.5,10.8,12.2,13.5,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,36,68.1,2.5,9.5,10.8,12.2,13.5,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,37,68.1,2.5,9.5,10.8,12.2,13.5,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,38,68.1,2.5,9.5,10.8,12.2,13.5,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,39,68.1,2.5,9.5,10.8,12.2,13.5,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,40,68.1,2.5,9.3,10.7,12,13.4,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,41,68.1,2.5,9.3,10.7,12,13.4,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,42,68.1,2.5,9.3,10.7,12,13.4,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,43,68.1,2.5,9.3,10.7,12,13.4,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,44,68.1,2.5,9.3,10.7,12,13.4,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,45,68.1,2.5,9.3,10.7,12,13.4,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,46,68.1,2.5,9.3,10.7,12,13.4,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,47,68.1,2.5,9.3,10.7,12,13.4,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,48,68.1,2.5,9.3,10.7,12,13.4,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,49,68.1,2.5,9.3,10.7,12,13.4,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,50,68.1,2.5,9.2,10.5,11.9,13.2,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,51,68.1,2.5,9.2,10.5,11.9,13.2,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,52,68.1,2.5,9.2,10.5,11.9,13.2,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,53,68.1,2.5,9.2,10.5,11.9,13.2,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,54,68.1,2.5,9.2,10.5,11.9,13.2,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,55,68.1,2.5,9.2,10.5,11.9,13.2,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,56,68.1,2.5,9.2,10.5,11.9,13.2,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,57,68.1,2.5,9.2,10.5,11.9,13.2,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,58,68.1,2.5,9.2,10.5,11.9,13.2,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,59,68.1,2.5,9.2,10.5,11.9,13.2,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,60,68.1,2.5,8.4,9.6,10.9,12.1,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,61,68.1,2.5,8.4,9.6,10.9,12.1,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,62,68.1,2.5,8.4,9.6,10.9,12.1,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,63,68.1,2.5,8.4,9.6,10.9,12.1,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,64,68.1,2.5,8.4,9.6,10.9,12.1,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,65,68.1,2.5,8.4,9.6,10.9,12.1,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,66,68.1,2.5,8.4,9.6,10.9,12.1,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,67,68.1,2.5,8.4,9.6,10.9,12.1,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,68,68.1,2.5,8.4,9.6,10.9,12.1,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,69,68.1,2.5,8.4,9.6,10.9,12.1,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,70,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,71,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,72,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,73,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,74,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,75,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,76,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,77,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,78,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,79,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,80,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,81,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,82,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,83,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,84,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,85,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,86,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,87,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,88,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,89,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,90,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,91,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,92,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,93,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,94,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,95,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,96,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,97,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,98,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,99,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
male,100,68.1,2.5,8.3,9.5,10.7,11.9,45,60,25,20,35,0.66,0.83,950,11,12.85,1.6,350,3.4,150,3,65,550,3500,70,750,0.1,1.6,1.6,5,1.7,40,330,4,110,15,13,70,400
pregnancy,1,70.5,2.3,0.29,0.29,0.29,0.29,,,,20,35,0.52,,,,1.6,1.5,300,,200,,,,,,700,,1.9,,,1.8,,600,4.5,105,,,,
pregnancy,2,70.5,2.3,1.1,1.1,1.1,1.1,,,,20,35,7.2,,,,1.6,1.5,300,,200,,,,,,700,,1.9,,,1.8,,600,4.5,105,,,,
pregnancy,3,70.5,2.3,2.1,2.1,2.1,2.1,,,,20,35,23,,,,1.6,1.5,300,,200,,,,,,700,,1.9,,,1.8,,600,4.5,105,,,,
lactation,1,,2.7,2.1,2.1,2.1,2.1,,,,20,35,15,,,,2.9,1.5,300,,200,,,,4000,85,1300,,2,,7,1.7,45,500,5,155,,,,
lactation,2,,2.7,2.1,2.1,2.1,2.1,,,,20,35,10,,,,2.9,1.5,300,,200,,,,4000,85,1300,,2,,7,1.7,45,500,5,155,,,,
