sex,age,reference body weight,water,energy 1.4,energy 1.6,energy 1.8,energy 2.0,carbohydrates min,carbohydrates max,dietary fibre,fat min,fat max,protein AR,protein PRI,Calcium,Iron,Zinc,Copper,Magnesium,Fluoride,Iodine,Manganese,Molybdenum,Phosphorus,Potassium,Selenium,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Choline
female,9,28.4,1.9,6.6,7.5,8.4,8.4,45,60,16,20,35,0.75,0.92,800,11,7.4,1,230,1.4,90,1.5,30,440,1800,35,400,0.1,1,1.6,4,1,25,200,2.5,45,15,9,30,250
female,10,28.4,1.9,7.6,7.6,8.6,9.5,45,60,16,20,35,0.75,0.91,800,11,7.4,1.1,250,1.4,90,1.5,30,440,1800,35,400,0.1,1,1.6,4,1,25,200,2.5,45,15,11,30,250
female,11,45.1,1.9,8,8,9,10,45,60,19,20,35,0.73,0.9,1150,11,10.7,1.1,250,2.3,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,11,45,340
female,12,45.1,1.9,8.4,8.4,9.4,10.5,45,60,19,20,35,0.72,0.89,1150,13,10.7,1.1,250,2.3,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,11,45,340
female,13,45.1,1.9,8.8,8.8,9.9,11,45,60,19,20,35,0.71,0.88,1150,13,10.7,1.1,250,2.3,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,11,45,340
female,14,45.1,2,9.1,9.1,10.2,11.4,45,60,19,20,35,0.7,0.87,1150,13,10.7,1.1,250,2.3,120,2,45,640,2700,55,600,0.1,1.4,1.6,5,1.4,35,270,3.5,70,15,11,45,340
female,15,56.4,2,9.3,9.3,10.5,11.7,45,60,21,20,35,0.69,0.85,1150,13,11.9,1.1,250,2.8,130,3,65,640,3500,70,650,0.1,1.6,1.6,5,1.6,35,330,4,90,15,11,65,400
female,16,56.4,2,9.5,9.5,10.6,11.8,45,60,21,20,35,0.68,0.84,1150,13,11.9,1.1,250,2.8,130,3,65,640,3500,70,650,0.1,1.6,1.6,5,1.6,35,330,4,90,15,11,65,400
female,17,56.4,2,9.5,9.5,10.7,11.9,45,60,21,20,35,0.67,0.83,1150,13,11.9,1.1,250,2.8,130,3,65,640,3500,70,650,0.1,1.6,1.6,5,1.6,35,330,4,90,15,11,65,400
female,18,58.5,2,7.9,9,10.1,11.2,45,60,25,20,35,0.66,0.83,1000,16,10.125,1.3,300,2.9,150,3,65,550,3500,70,650,0.1,1.6,1.6,5,1.6,40,330,4,95,15,11,70,400
