terrainRandomSeed,initRandomSeed,crop,T_sum,HI,I_50A,I_50B,T_base,T_opt,RUE,I_50maxH,I_50maxW,T_heat,T_extreme,S_water,sowingDay,harvestDay,rootZoneDepth
0,5,wheat 1,2200,0.36,480,200,0,15,1.24,100,25,34,45,0.4,330,105,1000
0,5,wheat 2,2150,0.34,280,50,0,15,1.24,100,25,34,45,0.4,330,105,1000
0,5,rice,2300,0.47,850,200,9,26,1.24,100,10,34,50,1,170,320,400
0,5,barley,1762,0.42,350,170,0,15,1.24,100,20,34,45,0.4,330,100,1000
0,5,pearl millet,1220,0.25,245,120,10,33,1.9,100,5,35,47,0.05,200,320,1000
0,5,proso millet,1328,0.29,157.3,96.75,0,18,3,100,5,34,45,0.05,107,220,1000
