terrainRandomSeed,x,y,elevation,flow_direction,flow_receive,flow_accumulation,p_soil_formativeErosion,p_soil_depth,p_soil_%sand,p_soil_%silt,p_soil_%clay,p_soil_textureType,p_initEcol_%grass,p_initEcol_%brush,p_initEcol_%wood,p_ecol_coverType,p_soil_saturation,p_soil_fieldCapacity,p_soil_waterHoldingCapacity,p_soil_wiltingPoint,p_soil_deepDrainageCoefficient
72,0,49,1017.1259026971559,32,false,0,0,210.6239451691631,53.34325428394227,42.20939682694199,4.4473488891157515,Sandy loam,34.96034576677965,38.52764993545079,26.512004297769558,wood-grass,0.4116130700010209,0.17,0.16182113466571385,0.008178865334286153,1
72,1,49,1016.2178533476656,128,true,2,0.010228499358592713,210.81143883278247,53.26872447638206,40.46463013661279,6.266645387005154,Sandy loam,30.917353517383077,41.70263196414146,27.38001451847547,wood-grass,0.4197999042415232,0.17,0.15418008937457836,0.015819910625421645,1
72,2,49,1016.2463528648757,128,false,0,0,188.39186332815396,55.558368763059434,42.413019694428996,2.028611542511569,Sandy loam,34.96034576677965,38.52764993545079,26.512004297769558,wood-grass,0.4007287519413021,0.17,0.17,0,1
72,3,49,1015.2814426169477,128,false,0,0,211.722048418198,52.33142978557717,43.16600643256527,4.5025637818575595,Sandy loam,34.96034576677965,38.52764993545079,26.512004297769558,wood-grass,0.41186153701835904,0.17,0.16158923211619827,0.008410767883801748,1
72,4,49,1014.9862938711082,128,true,10,0.0501069214655796,214.81074450616498,55.16735687463355,42.36682036918701,2.465822756179449,Sandy loam,14.14491250609592,54.83191723788832,31.02317025601576,wood-grass,0.4026962024028075,0.17,0.17,0,1
72,5,49,1014.7531291615329,128,false,0,0,203.49321907591164,50.43410517408969,43.17433473353922,6.391560092371095,Sandy loam,34.96034576677965,38.52764993545079,26.512004297769558,wood-grass,0.42036202041566995,0.17,0.15365544761204142,0.016344552387958594,1
72,6,49,1013.8156383478456,128,true,4,0.02035237651805677,203.72092910091806,55.32876108154924,40.369443558127145,4.301795360323628,Sandy loam,26.786540576608445,44.9479464840358,28.265512939355748,wood-grass,0.4109580791214563,0.17,0.16243245948664078,0.007567540513359236,1
72,7,49,1013.3812986789717,128,false,0,0,203.58049190467648,51.86192075659053,41.300816873423386,6.837262369986079,Sandy loam,34.96034576677965,38.52764993545079,26.512004297769558,wood-grass,0.42236768066493735,0.17,0.15178349804605848,0.018216501953941533,1
72,8,49,1013.5036891699399,128,false,0,0,200.46090846936357,56.66187438816212,42.12207318466064,1.216052427177235,Sandy loam,34.96034576677965,38.52764993545079,26.512004297769558,wood-grass,0.39707223592229757,0.17,0.17,0,1
72,9,49,1013.0440537093964,128,false,0,0,208.40631282796204,53.51803191171833,42.3446542988312,4.1373137894504595,Sandy loam,34.96034576677965,38.52764993545079,26.512004297769558,wood-grass,0.41021791205252706,0.17,0.1631232820843081,0.006876717915691928,1
