"export-world data (NetLogo 6.0.4)"
"land_05_withInitialEcologicalCommunity.nlogo"
"11/16/2020 22:39:45:303 +0000"

"RANDOM STATE"
"0 0 -1727483681 512 -1.2722127224170952 false -1203525971 1955663666 -483736304 1535850848 634594825 -1192730182 -1507023282 1785188056 847724723 1785303348 340948167 -14530747 1482753931 -1632349467 -950364165 -712404741 -1552848444 1371217690 2027218986 451992006 -447528039 454238121 516030713 -1129013521 -676242860 1886568309 520555327 -417945178 1872722829 2055219948 -772044482 725987262 317159170 1991818523 269133711 716279021 1011052092 1501811626 252021563 1344405492 -1910925071 1073811482 1115602656 -2010484423 359246191 1372149316 -807237028 513726791 1078383197 256649849 -2012365233 -1136543942 -124637447 1457428216 -79671977 -1214532102 -12114169 1443639606 -282802509 -1309190116 -824467758 -2047019659 -753037645 965766621 -421367970 681310436 -1256410984 1531029722 1301161471 -1883966459 231407720 -1231403434 1759085253 232054531 -1072298423 703403004 -1995690901 40626592 -1408460530 930864828 2006520851 -1521387296 218993228 -1353910 -2028837616 -1204370505 1731522353 -641557390 -491694101 -2043788806 -1488418760 570425010 566287455 136292042 -615946269 -979923598 439826169 -381360807 1817239487 985165270 -457632136 -1703478021 2030846104 574875482 -2013510569 -1342160416 1051330215 -1748486292 656103925 839088945 -2060259937 -139476053 1754244137 -343964518 -886289117 -1558456497 -1440897122 -1245126861 1969188919 1862876856 1096799809 982107036 552519360 -1495737751 974589080 -1142464907 2133138268 -2141577885 2140978703 -2010739851 -23524563 1862680934 -1488172347 -1178871389 -371124780 1378398804 939259011 -210683406 1555882487 633740662 996105492 -469508693 1295095402 476770350 353165888 -199304633 1836401960 -156562323 -1421532179 -1911293582 -80243515 607219579 -104729731 901813526 -914775700 414944780 254969433 -1614894266 -1534768887 584448592 1364155602 -1112283419 1108373345 1798860831 11920543 -656607607 -1608970990 502201110 -1695644239 -249411024 404803751 797196396 2055005525 -253912764 218477856 477928816 -50674858 2101017759 -384925753 -413893186 799327750 -847563456 -780763966 1734076230 -1236428111 237838661 -1023807362 1997961281 1767958448 222180147 -17629835 -854171629 -1596770902 -190821004 -437863590 534598520 -816544057 -502706850 -391816061 -425489245 -105246865 1856017627 1311065556 526081212 -376965264 -1189650236 -431164753 1383135509 1711672547 -1643228228 -939729569 1278030603 219672241 -952312148 -2053627479 -1714273777 2079796872 -1632397623 -1076915482 -425887324 196804849 -1424425753 477146989 -732948822 -1167715692 269509519 -756077377 -120377878 327685101 760349804 996888094 -1485019357 508673064 -444517953 2066405177 533022561 -972668102 -1400273517 -1485047888 70624347 646357077 -1989706491 -1234067 1572413444 -118214616 1611978257 -78987451 -1113187413 1752315372 -1179286246 1941757942 1662187150 -1880983496 -620090609 -1875713422 1269325885 -922505525 1060339217 -38027224 2099148326 -1218164844 545987183 -185177031 -209239125 -1163807124 459767266 -1239738290 2055622207 -481369736 -820283879 -2036741237 1971681923 1156234045 -1174044886 2050920941 -1611824741 -994682796 1826284675 1657871532 624739267 1371649019 313624245 -687505071 1456632236 842570685 76353781 2141805790 900488290 1913318868 210447771 -905729263 -448187723 -1085454207 1256230473 2131638293 438310219 28128852 -1727738462 -222068867 366750979 704216318 -1942068827 1403091377 932060145 -472831089 -1436789027 545256253 1047389373 -1517272194 -1909881120 593778838 1306005498 139118077 -661503006 -961305666 -1248157115 2037765854 -539789119 -582218354 -714072221 579537472 74916764 -2008580469 -1426609274 -142541658 445069588 -458879776 -1479065698 -282377806 -617849134 1566625202 1553220588 -1892140106 -1083717411 1539247226 -751819573 -1046548195 988171279 135674816 802576923 1177966686 -472488518 1108847669 -578338871 -2078022866 -2003109457 -1108402890 -1579860853 958701090 -1409404347 -1078892141 -1642626021 528868530 -1320179539 1424727586 -105659352 -1953137121 1522279055 898235927 -1676084901 771022521 80363852 73508994 1644738241 1531975233 -867450843 -923258194 -689875832 622045664 -1223926216 -795245199 442063374 1203612824 -455111537 551892995 1358244689 -1804971960 141096450 427773682 116439273 1185720108 1952270610 1691576322 -106052852 445540543 750513315 -2019224001 720787078 -1709863149 2059984202 -417469517 1724989672 2024481565 -11627511 1018468161 1639452225 960805004 -18720345 -1935773474 280796111 -473237249 -29887701 1773513187 -598686784 -1828140794 -1055817875 -1560864431 -1323204435 142714333 -940796925 3652865 -475357753 938004675 1143397990 -1253274218 -110932743 -1487682342 324340552 -1349398355 -520795491 84679935 1255981109 1216687823 -1265236437 1020335670 -1668018738 -803378385 1234027822 1691556352 -92462211 1031930108 2044805125 2027392193 -1121292800 894117386 904843099 504890755 -1396128885 -514896051 112918427 -1568020693 -1987248234 -495399359 -1225669257 928182349 285307351 771147953 1966749184 643273760 -195703215 259931595 -1966750292 -619324701 472255011 1543099195 -1422707783 464300764 -1951270562 -583572039 1902896280 -1026970523 54906636 490220740 -2047962013 65250746 332809372 -1078754753 -2021391406 -272641364 1984720121 -431172234 -1970172789 -376048990 675364649 393352389 137254988 285293 -2089545392 -517663773 1250778831 620452878 -279221046 1307326003 1020733871 1516898157 -117192637 -1514774488 1133418725 1219594613 -1451450594 124837658 -708345729 -2028856317 15056343 1552484136 -639966100 -1967531628 1817655144 -25721120 -1765206130 -496100242 1137344973 324409512 1385699959 326139679 295070607 -1193679787 -79877581 -503227324 252867785 -536890585 1829169209 2093328241 707767557 -149947292 1814079844 1994298827 -773288692 -353597023 2123261690 -320742136 -266101769 -1236302409 1633762041 -1505600002 1040215502 -1326842610 1686661265 1662991657 -1551427955 -567722770 -1529969707 -556711324 1119163208 1516158069 1297783293 -1481981012 -854655055 1036554376 1797258985 -703030571 -1484865844 77607621 2061691180 2080107774 24261410 1394300603 -680334250 2045278851 -1523052054 -823691138 1081268548 -1821388875 -5659901 -31562104 -1850132597 -180004284 1980801744 902162115 -1330416556 1720963623 -1536991865 1623846271 1447765391 1623689241 1866590149 -1640464665 -1614603598 -184005641 -1775133014 200691627 -1222063756 1191424776 304658302 510882188 -1323131045 1367006292 1255155247 65674780 263329531 1613200190 -1852621094 -426754419 -241223891 2132169444 658695881 -1521894682 1762615077 236429556 -51429506 -1360414879 971631715 1360790445 838423943 -1845722647 -1757190181 -2088735689 1620350303 377737942 -247127469 -1088786165 2071694952 967573234 -1685732418 2140715511 -86940201 113078750 -1979503548 -361073120 705094919 -1144440334 -693030512 -592324857 -322004403 -854227220 1844230975 35224555 -880957982 169432572 -1792153163 968031211 -805440184 1371976137 -1133651195"

"GLOBALS"
"min-pxcor","max-pxcor","min-pycor","max-pycor","perspective","subject","nextIndex","directed-links","ticks","display-mode","ecol_brushfrequencyinflection","ecol_brushfrequencyrate","ecol_grassfrequencyinflection","ecol_grassfrequencyrate","ecol_woodfrequencyinflection","ecol_woodfrequencyrate","elevationdistribution","elev_algorithm-style","elev_featureanglerange","elev_inversioniterations","elev_noise","elev_numdepressions","elev_numprotuberances","elev_numranges","elev_numrifts","elev_rangeaggregation","elev_rangeheight","elev_rangelength","elev_riftaggregation","elev_riftheight","elev_riftlength","elev_smoothingradius","elev_smoothstep","elev_valleyaxisinclination","elev_valleyslope","elev_xslope","elev_yslope","flow_do-fill-sinks","flow_riveraccumulationatstart","landratio","landwithriver","maxdist","maxelevation","maxflowaccumulation","minelevation","mostcommoncovertype","mostcommontexturetype","par_ecol_brushfrequencyinflection","par_ecol_brushfrequencyrate","par_ecol_grassfrequencyinflection","par_ecol_grassfrequencyrate","par_ecol_woodfrequencyinflection","par_ecol_woodfrequencyrate","par_elev_featureanglerange","par_elev_inversioniterations","par_elev_noise","par_elev_numdepressions","par_elev_numprotuberances","par_elev_numranges","par_elev_numrifts","par_elev_rangeaggregation","par_elev_rangeheight","par_elev_rangelength","par_elev_riftaggregation","par_elev_riftheight","par_elev_riftlength","par_elev_smoothingradius","par_elev_smoothstep","par_elev_valleyaxisinclination","par_elev_valleyslope","par_elev_xslope","par_elev_yslope","par_flow_riveraccumulationatstart","par_sealevel","par_soil_depthnoise","par_soil_formativeerosionrate","par_soil_max%clay","par_soil_max%sand","par_soil_max%silt","par_soil_maxdepth","par_soil_min%clay","par_soil_min%sand","par_soil_min%silt","par_soil_mindepth","par_soil_texturenoise","randomseed","sdelevation","sealevel","show-flows","show-transects","soil_depthnoise","soil_formativeerosionrate","soil_max%clay","soil_max%sand","soil_max%silt","soil_maxdepth","soil_min%clay","soil_min%sand","soil_min%silt","soil_mindepth","soil_texturenoise","soil_texturetypes_display","type-of-experiment","xtransect","ytransect"
