"BehaviorSpace results (NetLogo 6.0.4)"
"SIMPLE-crop-model.nlogo"
"experiment"
"01/13/2020 17:50:15:119 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","precipitation_daily-cum_rate2_yearly-mean","CO2-mean","solar_annual-min","precipitation_daily-cum_rate2_yearly-sd","CO2-daily-fluctuation","seed","precipitation_yearly-sd","solar_annual-max","precipitation_daily-cum_plateau-value_yearly-sd","precipitation_daily-cum_n-sample","precipitation_daily-cum_inflection1_yearly-sd","CO2-annual-deviation","precipitation_daily-cum_max-sample-size","precipitation_daily-cum_inflection2_yearly-sd","precipitation_daily-cum_inflection2_yearly-mean","temperature_daily-mean-fluctuation","temperature_annual-min-at-2m","solar_daily-mean-fluctuation","temperature_daily-lower-deviation","temperature_annual-max-at-2m","temperature_daily-upper-deviation","end-simulation-in-tick","precipitation_yearly-mean","precipitation_daily-cum_inflection1_yearly-mean","precipitation_daily-cum_rate1_yearly-mean","display-mode","precipitation_daily-cum_plateau-value_yearly-mean","precipitation_daily-cum_rate1_yearly-sd","type-of-experiment","[step]","T","T_max","T_min","RAIN","solarRadiation","ET_0","mean [WATp] of patches","mean [ARID] of patches","mean [biomass] of patches with [position crop typesOfCrops = 0]","mean [biomass] of patches with [position crop typesOfCrops = 1]","mean [yield] of patches with [position crop typesOfCrops = 0]","mean [yield] of patches with [position crop typesOfCrops = 1]"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","17","8.464256138008203","13.464256138008203","3.464256138008203","0","3.777450685291089","1.3422573155859503","0.10746220358398952","0","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","18","21.73424888251573","26.73424888251573","16.73424888251573","0","10.607314658854788","3.161946168847824","0.10290583203992604","0.42359909995263917","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","19","16.304404699962944","21.304404699962944","11.304404699962944","2.0808923680503373","8.279525406999216","2.4128651230071108","0.10348968891588656","0.23437510035219586","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","20","16.311221714694245","21.311221714694245","11.311221714694245","0","5.979520814383929","2.039895565891017","0.09931467877996175","0.18132865118483613","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","21","15.591375339979512","20.591375339979514","10.591375339979512","0","19.16002698732704","4.100938442822624","0.09554046961708518","0.631868732925568","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","22","16.207733115170104","21.207733115170104","11.207733115170104","0","10.870018884611039","2.8263140119906005","0.0921285845338458","0.5171258297888535","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","23","16.733271506452084","21.733271506452084","11.733271506452084","0","15.305214555023598","3.5925599410683247","0.08904424041859557","0.6565853691134858","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","24","10.345770999722358","15.345770999722358","5.345770999722358","0","11.278986366926148","2.4432228558566735","0.08625599333841172","0.54351326183749","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","25","21.4262636653675","26.4262636653675","16.4262636653675","0","10.850760678124146","3.1866805627440518","0.08373541797792333","0.6836111670613149","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","26","11.369202743623397","16.369202743623397","6.369202743623397","0","12.278563840401524","2.6632505273315816","0.08145681785204312","0.6577715686156315","0","0","0","0"
